date[dTt] r[AU] clt[rad] lon[rad] n[1/cm^3] P[Pa] vr[km/s] vclt[km/s] vlon[km/s] Br[nT] Bclt[nT] Blon[nT]
2017-09-01T00:03:54 1.00924e+00 1.44524e+00 -2.83929e-05 1.18018e+01 9.60339e-12 3.93818e+02 5.27262e+00 -4.24775e+00 2.64249e+00 -4.00254e-02 -2.42368e+00 
2017-09-01T00:13:54 1.00923e+00 1.44524e+00 -2.83711e-05 1.17439e+01 9.56010e-12 3.94202e+02 5.14720e+00 -4.25427e+00 2.64310e+00 -3.97742e-02 -2.42459e+00 
2017-09-01T00:23:54 1.00923e+00 1.44524e+00 -2.83494e-05 1.16877e+01 9.51807e-12 3.94582e+02 5.02144e+00 -4.25757e+00 2.64369e+00 -3.94208e-02 -2.42521e+00 
2017-09-01T00:33:54 1.00923e+00 1.44523e+00 -2.83276e-05 1.16336e+01 9.47734e-12 3.94957e+02 4.89528e+00 -4.25791e+00 2.64431e+00 -3.89895e-02 -2.42550e+00 
2017-09-01T00:43:54 1.00923e+00 1.44523e+00 -2.83058e-05 1.15816e+01 9.43793e-12 3.95328e+02 4.76870e+00 -4.25583e+00 2.64498e+00 -3.85356e-02 -2.42544e+00 
2017-09-01T00:53:54 1.00923e+00 1.44523e+00 -2.82841e-05 1.15317e+01 9.39981e-12 3.95696e+02 4.64172e+00 -4.25194e+00 2.64574e+00 -3.81076e-02 -2.42505e+00 
2017-09-01T01:03:54 1.00923e+00 1.44523e+00 -2.82623e-05 1.14838e+01 9.36297e-12 3.96061e+02 4.51439e+00 -4.24664e+00 2.64660e+00 -3.77361e-02 -2.42440e+00 
2017-09-01T01:13:54 1.00922e+00 1.44523e+00 -2.82406e-05 1.14377e+01 9.32742e-12 3.96423e+02 4.38677e+00 -4.24010e+00 2.64756e+00 -3.74268e-02 -2.42357e+00 
2017-09-01T01:23:54 1.00922e+00 1.44522e+00 -2.82188e-05 1.13933e+01 9.29305e-12 3.96783e+02 4.25889e+00 -4.23222e+00 2.64864e+00 -3.71774e-02 -2.42261e+00 
2017-09-01T01:33:54 1.00922e+00 1.44522e+00 -2.81970e-05 1.13501e+01 9.25974e-12 3.97141e+02 4.13080e+00 -4.22275e+00 2.64986e+00 -3.69784e-02 -2.42134e+00 
